SEQGEN14,PSTATABB,PNAME,ORISPL,GENID,NUMBLR,GENSTAT,PRMVR,FUELG1,NAMEPCAP,CFACT, GENNTAN , GENNTOZ ,GENERSRC,GENYRONL,GENYRRET,,
53,AK,Battery Energy Storage System,57583,BESS,0,OP,BA,MWH,27.0,,,,,2003,,,
54,AK,Beaver Falls,6580,1,0,OP,HY,WAT,1.0,0.962," 8,427 "," 3,310 ",Distributed from 923 Generation And Fuel,1947,,,
55,AK,Beaver Falls,6580,3,0,OP,HY,WAT,2.2,0.962," 18,540 "," 7,282 ",Distributed from 923 Generation And Fuel,1954,,,
56,AK,Beaver Falls,6580,4,0,OP,HY,WAT,2.2,0.962," 18,540 "," 7,282 ",Distributed from 923 Generation And Fuel,1954,,,
57,AK,Beluga,96,1,0,OP,GT,NG,16.0,0.140," 19,627 "," 9,487 ",Distributed from 923 Generation And Fuel,1968,,,
58,AK,Beluga,96,2,0,OP,GT,NG,16.0,0.140," 19,627 "," 9,487 ",Distributed from 923 Generation And Fuel,1968,,,
59,AK,Beluga,96,3,0,OP,GT,NG,59.1,0.140," 72,496 "," 35,042 ",Distributed from 923 Generation And Fuel,1972,,,
60,AK,Beluga,96,5,0,OP,GT,NG,68.3,0.140," 83,781 "," 40,497 ",Distributed from 923 Generation And Fuel,1975,,,
61,AK,Beluga,96,6,0,OP,CT,NG,76.5,0.594," 397,884 "," 144,115 ",Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1976,,,
62,AK,Beluga,96,7,0,OP,CT,NG,76.5,0.594," 397,884 "," 144,115 ",Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1978,,,
63,AK,Beluga,96,8,1,OP,CA,NG,62.0,0.415," 225,183 "," 65,306 ",EIA-923 Generator File,1982,2015,,
64,AK,Bernice Lake,6292,2,0,OP,GT,NG,20.7,0.026," 4,709 "," 1,795 ",Distributed from 923 Generation And Fuel,1971,,,
65,AK,Bernice Lake,6292,3,0,OP,GT,NG,28.8,0.026," 6,551 "," 2,498 ",Distributed from 923 Generation And Fuel,1978,,,
66,AK,Bernice Lake,6292,4,0,OP,GT,NG,27.2,0.026," 6,187 "," 2,359 ",Distributed from 923 Generation And Fuel,1981,,,
67,AK,Bethel,6566,1,0,OP,IC,DFO,2.1,0.380," 6,994 "," 2,395 ",Distributed from 923 Generation And Fuel,1976,,,
68,AK,Bethel,6566,2,0,OP,IC,DFO,2.1,0.380," 6,994 "," 2,395 ",Distributed from 923 Generation And Fuel,1976,,,
69,AK,Bethel,6566,3,0,OP,IC,DFO,2.1,0.380," 6,994 "," 2,395 ",Distributed from 923 Generation And Fuel,1976,,,
70,AK,Bethel,6566,4,0,OP,IC,DFO,2.1,0.380," 6,994 "," 2,395 ",Distributed from 923 Generation And Fuel,1976,,,
71,AK,Bethel,6566,6,0,OP,IC,DFO,2.1,0.380," 6,994 "," 2,395 ",Distributed from 923 Generation And Fuel,1989,,,
72,AK,Bethel,6566,7,0,OP,IC,DFO,2.1,0.380," 6,994 "," 2,395 ",Distributed from 923 Generation And Fuel,1992,,,
73,AK,Black Bear Lake,7752,1,0,OP,HY,WAT,4.5,0.536," 21,145 "," 8,305 ",Distributed from 923 Generation And Fuel,1995,,,
74,AK,Bradley Lake,7367,1,0,OP,HY,WAT,63.0,0.392," 216,288 "," 92,750 ",Distributed from 923 Generation And Fuel,1991,,,
75,AK,Bradley Lake,7367,2,0,OP,HY,WAT,63.0,0.392," 216,288 "," 92,750 ",Distributed from 923 Generation And Fuel,1991,,,
76,AK,Centennial,7112,IC6,0,OP,IC,DFO,3.3,0.000, (39), (13),Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1987,,,
77,AK,Chester Lake,7168,1,0,OP,HY,WAT,1.0,0.681," 5,966 "," 2,343 ",Distributed from 923 Generation And Fuel,1988,,,
78,AK,Chevak,6311,1,0,RE,IC,DFO,0.4,,,,,1977,2009,,
79,AK,Chevak,6311,2,0,RE,IC,DFO,0.3,,,,,1976,2009,,
80,AK,Chevak,6311,3,0,RE,IC,DFO,0.3,,,,,1979,2009,,
81,AK,Cooper Lake,6291,1,0,OP,HY,WAT,9.7,0.189," 16,025 "," 6,295 ",Distributed from 923 Generation And Fuel,1961,,,
82,AK,Cooper Lake,6291,2,0,OP,HY,WAT,9.7,0.189," 16,025 "," 6,295 ",Distributed from 923 Generation And Fuel,1961,,,
83,AK,Craig (AK),421,1,0,OP,IC,DFO,0.6,0.008, 42 , 14 ,Distributed from 923 Generation And Fuel,1984,,,
84,AK,Craig (AK),421,3A,0,OP,IC,DFO,1.6,0.008, 111 , 38 ,Distributed from 923 Generation And Fuel,1991,,,
85,AK,Craig (AK),421,5,0,OP,IC,DFO,1.1,0.008, 77 , 26 ,Distributed from 923 Generation And Fuel,1983,,,
86,AK,Craig (AK),421,6,0,OP,IC,DFO,1.1,0.008, 77 , 26 ,Distributed from 923 Generation And Fuel,1989,,,
87,AK,Delta Power,56325,6,0,SB,GT,DFO,23.1,0.000, (121), (41),Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1976,,,
88,AK,Delta Wind Farm,58511,EWT1,0,OP,WT,WND,0.9,0.270," 2,132 "," 1,009 ",Distributed from 923 Generation And Fuel,2009,,,
89,AK,Delta Wind Farm,58511,EWT2,0,OP,WT,WND,0.9,0.270," 2,132 "," 1,009 ",Distributed from 923 Generation And Fuel,2013,,,
90,AK,Delta Wind Farm,58511,NW1,0,OP,WT,WND,0.1,0.270, 237 , 112 ,Distributed from 923 Generation And Fuel,2008,,,
91,AK,Dillingham,109,10,0,OP,IC,DFO,1.1,0.319," 3,077 "," 1,053 ",Distributed from 923 Generation And Fuel,1988,,,
92,AK,Dillingham,109,11,0,OP,IC,DFO,1.0,0.319," 2,797 ", 958 ,Distributed from 923 Generation And Fuel,2001,,,
